id,company_name,title,description,experience,education,employment_type,salary,location,deadline,tech_stack,created_at
,마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,,신입,대졸↑,정규직,,서울 강남구,"~ 01/09(목)
입사지원",,
,(주)니트머스,"[신입/경력] 온라인 광고 플랫폼 개발 (Python, Django)",,신입,초대졸↑,정규직,,서울 영등포구,"~ 12/16(월)
입사지원",,
,알디에스(주),알디에스(오뚜기IT자회사) IT (웹)운영개발 사원모집,,신입,대졸↑,정규직,,서울 강남구,"~ 12/22(일)
입사지원",,
,롯데손해보험(주),신입사원 채용공고,,신입,대졸↑,정규직,,서울 중구,"~ 12/19(목)
홈페이지 지원",,
,(주)콘텐츠브릿지,경영지원팀 인사/총무 담당자 채용 (신입),,신입,초대졸↑,정규직,,서울 강남구,"~ 12/20(금)
입사지원",,
,(주)엠플러스,SW개발팀 신입 채용,,신입,대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,롯데손해보험(주),신입사원 채용공고(데이터모델링),,신입,대졸↑,정규직,,서울 중구,"~ 12/19(목)
홈페이지 지원",,
,주식회사 이지서티,[이지서티] 신입 솔루션 엔지니어 채용,,신입,대졸↑,정규직,,서울 강남구,"~ 12/31(화)
입사지원",,
,(주)솔트룩스,인공지능(AI) 솔트룩스 - NLP Research Engineer 신입,,신입,대졸↑,정규직,,서울 송파구,"채용시
입사지원",,
,(주)카이트로닉스,[딥테크]연구개발 및 설계 신입사원 모집,,신입,초대졸↑,정규직,,서울전체,"~ 12/27(금)
입사지원",,
,(주)타임게이트,빅데이터(Splunk) 신입 엔지니어 모집,,신입,초대졸↑,정규직·계약직,,서울 성동구,"~ 12/20(금)
입사지원",,
,(주)써니항공,인공강우팀 신입사원 채용,,신입,대졸↑,정규직,,서울 강서구,"~ 01/02(목)
입사지원",,
,(주)알지티,알지티 웹 프론트엔드 채용,,신입,대졸↑,정규직,,서울 금천구,"상시채용
입사지원",,
,(주)브로드밴드아이디씨,시스템 엔지니어 채용,,신입,학력무관,정규직,,서울전체,"채용시
입사지원",,
,(주)이스트게임즈,[신입] 캐주얼 전략액션 클라이언트/모바일 실시간전략게임 서버,,신입,학력무관,정규직,,서울 서초구,"~ 01/04(토)
홈페이지 지원",,
,(주)비에스지원,클라우드 인프라 엔지니어 신입 채용공고,,신입,학력무관,정규직,,서울 강남구,"~ 01/31(금)
입사지원",,
,드림라인(주),글로벌사업 기획 신입사원 모집,,신입,고졸↑,정규직,,서울전체,"~ 01/10(금)
입사지원",,
,어보브반도체(주),Fullcustom Layout 경력직 채용,,신입,대졸↑,정규직,,서울 강남구,"~ 12/19(목)
입사지원",,
,(주)시큐어키,IT 기술지원 S/W 신입 엔지니어 정규직 채용 (개발자 채용 X),,신입,고졸↑,정규직,,서울 금천구,"~ 12/27(금)
입사지원",,
,(주)제이에이치솔루션,기업부설연구소 채용공고,,신입,대졸↑,정규직,,서울 금천구,"~ 12/28(토)
입사지원",,
,(주)아톰소프트,기계공학 S/W 개발 인재 채용 공고,,신입,대졸↑,정규직·계약직,,서울 금천구,"~ 02/10(월)
입사지원",,
,롯데손해보험(주),신입사원 채용공고(자동차보험업무),,신입,대졸↑,정규직,,서울 중구,"~ 12/19(목)
홈페이지 지원",,
,엠피에스이(주),CFD 열유동해석 엔지니어 채용 (CFD Simulation),,신입,대졸↑,정규직,,서울 금천구,"~ 12/20(금)
입사지원",,
,(주)빅아이디언,[빅아이디언] SW솔루션 개발 신입 채용,,신입,학력무관,정규직,,서울 금천구,"~ 01/11(토)
입사지원",,
,한국펀드평가(주),[한국펀드평가] 평가1본부/평가3본부 신입 채용,,신입,대졸↑,정규직,,서울 종로구,"~ 12/31(화)
홈페이지 지원",,
,한국딥러닝(주),[신입/인턴] AI분야 사업개발 매니저,,신입,대졸↑,정규직·인턴직,,서울전체,"~ 12/31(화)
입사지원",,
,(주)콘텐츠브릿지,[신입] Cloud & 데이터센터 영업 담당자 모집,,신입,초대졸↑,정규직,,서울 강남구,"~ 12/18(수)
입사지원",,
,패션앤스타일컴퍼니 주식회사,콘텐츠 기획/운영 정규직 채용[신입],,신입,고졸↑,정규직,,서울전체,"~ 01/11(토)
입사지원",,
,(주)에프앤가이드,에프앤가이드 인덱스개발팀(지수개발 및 유지보수) 신입 채용,,신입,대졸↑,정규직,,서울 강서구,"~ 12/31(화)
홈페이지 지원",,
,(주)큐브리드,(공개채용) DBMS 병특 연구 개발자 모집,,신입,석사↑,정규직,,서울 강남구,"~ 12/20(금)
입사지원",,
,(주)백그라운드,[글로벌 투자 운용사] Quantitative Researcher,,신입,대졸↑,정규직,,서울 종로구,"~ 01/05(일)
입사지원",,
,(주)파이오링크,"[코스닥 상장사] Linux,Python,Java,Api 개발자 모집(신입/경력)",,신입·경력,초대졸↑,정규직,,서울 금천구,"~ 12/31(화)
입사지원",,
,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집",,신입·경력,대졸↑,정규직,,서울 강남구,"~ 12/20(금)
입사지원",,
,㈜칸테크,ORACLE/PYTHON/JAVA/SQL 개발자 모집,,경력무관,초대졸↑,정규직,,서울 강남구,"~ 01/05(일)
입사지원",,
,조베이스(주),[솔루션] 백엔드 개발자 모집(python),,경력무관,대졸↑,정규직,,서울 강남구,"~ 01/08(수)
입사지원",,
,(주)코레이즈홀딩스,[코레이즈]  Python (Flask) 웹 개발자 채용 (신입-보충역),,신입·경력,학력무관,정규직·계약직,,서울 성동구,"~ 01/04(토)
입사지원",,
,(주)케이엘피,파이썬(Python) 크롤링 가능하신분 구합니다.,,경력무관,고졸↑,정규직·계약직,,서울 강남구,"내일마감
입사지원",,
,플러거,마켓빌리 JAVA / DBA / TA / AA / PYTHON Recruitment,,경력무관,학력무관,정규직·계약직,,서울 강남구,"~ 12/25(수)
입사지원",,
,(주)파이오링크,"[코스닥상장사] L4-L7 스위치 개발 Linux,Python,C(신입/경력)",,신입·경력,학력무관,정규직,,서울 금천구,"오늘마감
입사지원",,
,(주)에프아이솔루션,[Python 프로그래밍] 백엔드/서버개발 경력직 모집,,경력무관,학력무관,정규직·계약직,,서울 금천구,"~ 01/12(일)
입사지원",,
,(주)에이스웍스코리아,소프트웨어 개발자,,신입·경력,초대졸↑,정규직,,서울전체,"~ 12/31(화)
입사지원",,
,(주)옵트에이아이,(병역특례가능) 임베디드 AI 개발자 (C++),,경력무관,대졸↑,정규직·전문연구요원,,서울 강서구,"상시채용
입사지원",,
,(주)위즈코리아,㈜위즈코리아/㈜위즈COK '24년 하반기 신입/경력 사원 모집,,신입·경력,학력무관,정규직·병역특례,,서울전체,"~ 12/31(화)
입사지원",,
,블루닷(주),코덱 SW 엔지니어 (알고리즘 개발/신입),,신입·경력,대졸↑,정규직,,서울전체,"~ 12/17(화)
입사지원",,
,(주)포지큐브,Vision Deep learning 기술 개발,,신입·경력,학력무관,정규직,,서울전체,"~ 01/08(수)
입사지원",,
,프리베노틱스(주),의료 영상기반 AI 알고리즘 개발 R&D팀 채용,,경력무관,대졸↑,정규직,,서울 서초구,"채용시
입사지원",,
,NIMBYX CAPITAL INC.,AI / ML Engineer,,신입·경력,대졸↑,정규직,,서울 강남구,"~ 12/27(금)
입사지원",,
,다산팩 주식회사,데이터 분석팀 - 데이터 분석가 채용,,경력무관,대졸↑,정규직,,서울 송파구,"~ 12/18(수)
입사지원",,
,(주)모빌린트,[전문연구원 가능] SoC Design Engineer,,신입·경력,대졸↑,정규직,,서울전체,"~ 01/02(목)
입사지원",,
,(주)오제플러스,전산실 - 업무 자동화 팀 모집,,경력무관,학력무관,정규직,,서울 영등포구,"~ 01/07(화)
입사지원",,
,(주)오티톤메디컬,[소프트웨어 개발] 프로 그램 개발자 (벤처기업),,경력무관,대졸↑,정규직,,서울 금천구,"상시채용
입사지원",,
,(주)미니레코드,AI 개발자 채용,,신입·경력,학력무관,정규직,,서울전체,"~ 01/02(목)
입사지원",,
,(주)반프,R&D / Backend Engineer,,경력무관,학력무관,정규직,,서울 강남구,"~ 12/25(수)
홈페이지 지원",,
,법무법인와이케이,[국내TOP7로펌/법무법인YK] 강남본사 프론트엔드/ 백엔드 개발담당자 채용,,신입·경력,학력무관,정규직,,서울전체,"~ 12/20(금)
입사지원",,
,아이칩(주),인공지능/헬스케어 소프트웨어 개발 신입/경력 연구원 모집,,경력무관,대졸↑,정규직,,서울 금천구,"상시채용
입사지원",,
,(주)모빅랩,[모빅랩] 병역특례 전문연구요원(AI Researcher),,경력무관,석사↑,정규직,,서울 서초구,"상시채용
입사지원",,
,(주)스틸리언,R&D 연구원 - 사이버 보안 벤처기업,,경력무관,학력무관,정규직·인턴직,,서울 용산구,"채용시
입사지원",,
,(주)영유진,IT 컨설턴트 채용,,경력무관,대졸↑,정규직,,서울전체,"상시채용
입사지원",,
